,dcc_mean_pairwise_corr
2021-04-30,0.2720712393869597
2021-05-04,0.2732252576800599
2021-05-05,0.25624021742128356
2021-05-06,0.22808820353579673
2021-05-07,0.23774035208050853
2021-05-10,0.2409570676866391
2021-05-11,0.253111347531112
2021-05-14,0.2534860219675448
2021-05-17,0.25943832744446454
2021-05-18,0.24717784197666318
2021-05-19,0.25226974511433997
2021-05-20,0.24961878974925894
2021-05-21,0.24779702511430274
2021-05-24,0.25187309570121463
2021-05-25,0.25971702543712893
2021-05-26,0.26455110555298733
2021-05-27,0.26575464943796206
2021-05-28,0.26566421066028745
2021-05-31,0.2730106884806863
2021-06-01,0.26944297941556156
2021-06-02,0.271910245801525
2021-06-03,0.27400659696997465
2021-06-04,0.2773655044577949
2021-06-07,0.2821170879865337
2021-06-08,0.28281217959854166
2021-06-09,0.2856123369198035
2021-06-10,0.2783904424426937
2021-06-11,0.28077448108412123
2021-06-15,0.2866124511298997
2021-06-16,0.26060231378446763
2021-06-17,0.25202601082130804
2021-06-25,0.2624963381960681
2021-06-28,0.2802532746898588
2021-06-29,0.2769062323861385
2021-06-30,0.277534875120603
2021-07-01,0.2801733340159645
2021-07-02,0.2779318776608225
2021-07-05,0.28434031065319854
2021-07-06,0.2877893236358206
2021-07-07,0.358347525142905
2021-07-08,0.35857348861281135
2021-07-09,0.3603380300587452
2021-07-12,0.3559617922347574
2021-07-13,0.34658998059182533
2021-07-14,0.3338010903073821
2021-07-15,0.3304599512995698
2021-07-16,0.3264302848595128
2021-07-19,0.3388242961266131
2021-07-22,0.33840424760516397
2021-07-23,0.33203372529926317
2021-07-26,0.33325301682105435
2021-07-27,0.324886725658895
2021-07-28,0.3226596402953392
2021-07-29,0.329524766396017
2021-07-30,0.33775073680200957
2021-08-02,0.32945088412444345
2021-08-03,0.32821003341916344
2021-08-04,0.3427100340445318
2021-08-05,0.33546849590743066
2021-08-06,0.33940933155428504
2021-08-09,0.3391603516508754
2021-08-10,0.33707479556267667
2021-08-11,0.3318661225835614
2021-08-12,0.3296599402488489
2021-08-13,0.319612467335826
2021-08-16,0.3180107552009245
2021-08-17,0.31426514753960255
2021-08-18,0.3144663360113644
2021-08-19,0.3056541246858778
2021-08-20,0.30427573696005467
2021-08-23,0.30291224838338693
2021-08-24,0.300996094532592
2021-08-25,0.288992399847125
2021-08-26,0.29417713023560915
2021-08-27,0.29280002114250825
2021-08-30,0.2909361881241791
2021-08-31,0.2901870116149315
2021-09-01,0.28257755388245964
2021-09-02,0.284433852846791
2021-09-03,0.2992797388621723
2021-09-06,0.3005195971602232
2021-09-07,0.2894149276273513
2021-09-08,0.29038729371259303
2021-09-09,0.28733873241775454
2021-09-10,0.2620680117466684
2021-09-13,0.25203823361186134
2021-09-14,0.24903499503639415
2021-09-15,0.2541268680028571
2021-09-16,0.25423712737332504
2021-09-17,0.2611638887503762
2021-09-20,0.21446969146867395
2021-09-21,0.2223301448265552
2021-09-22,0.22250295740257436
2021-09-23,0.22990583150215774
2021-09-24,0.2367054463784511
2021-09-27,0.22532875700501576
2021-09-28,0.22885381061089563
2021-09-29,0.2330493217355408
2021-09-30,0.25110496856451797
2021-10-04,0.25506703851749535
2021-10-05,0.2615224910049436
2021-10-06,0.35507792997877435
2021-10-07,0.34444055054761885
2021-10-08,0.3466134358277898
2021-10-11,0.34307619146133633
2021-10-12,0.33204267396694825
2021-10-13,0.3391666716850212
2021-10-14,0.358132258431486
2021-10-15,0.3459039137065048
2021-10-18,0.33940580322309283
2021-10-20,0.3337480483556613
2021-10-21,0.3303488649401731
2021-10-22,0.3282029144129213
2021-10-25,0.3243158157545215
2021-10-26,0.32147200728050007
2021-10-27,0.3170225144200586
2021-10-28,0.2976066804037282
2021-10-29,0.2964546397713647
2021-11-01,0.28706323618800084
2021-11-02,0.29729308293342704
2021-11-03,0.31544531760010414
2021-11-04,0.3028797729454224
2021-11-05,0.29562748736467387
2021-11-08,0.3093604658622204
2021-11-09,0.30806495915647486
2021-11-10,0.3070191570461045
2021-11-11,0.3069518951515449
2021-11-12,0.31029728535286527
2021-11-15,0.3125692673500974
2021-11-16,0.30621886560298356
2021-11-17,0.29110941137002866
2021-11-18,0.28994382925861384
2021-11-19,0.289043821607315
2021-11-22,0.3002397028675092
2021-11-23,0.3094796343947744
2021-11-24,0.3064664761193149
2021-11-25,0.30046035497577267
2021-11-26,0.3008979248360397
2021-11-29,0.3040764266630417
2021-11-30,0.30073392452025666
2021-12-01,0.26553705157982205
2021-12-02,0.2631553272510304
2021-12-03,0.26386196187318695
2021-12-06,0.27331434509752645
2021-12-07,0.2702568067784602
2021-12-08,0.260648293106411
2021-12-09,0.2631621764449633
2021-12-10,0.2882754726530674
2021-12-13,0.30424665414089186
2021-12-14,0.30731142280543144
2021-12-15,0.3080364349187244
2021-12-16,0.30471162665910034
2021-12-17,0.3045829517173084
2021-12-20,0.30548641220856343
2021-12-21,0.30747656580551325
2021-12-22,0.30987284258112513
2021-12-23,0.3120617934774204
2021-12-24,0.30369851154641203
2021-12-29,0.302083083441637
2021-12-30,0.3094600243115798
2021-12-31,0.31457074715232614
2022-01-04,0.31094544606447305
2022-01-05,0.31033938620968016
2022-01-06,0.3102476137524578
2022-01-07,0.31764080521424576
2022-01-10,0.3017634822761524
2022-01-11,0.2837919618157578
2022-01-12,0.28533401686812676
2022-01-13,0.288261844332231
2022-01-14,0.29179811796464444
2022-01-17,0.2912707660972923
2022-01-18,0.293658326568586
2022-01-19,0.30498583563362586
2022-01-20,0.3069102717647187
2022-01-21,0.31078865246433507
2022-01-24,0.3076809620230624
2022-01-25,0.32026812069382665
2022-01-26,0.32149158193965216
2022-01-27,0.3153534118502366
2022-01-28,0.3122908770309012
2022-01-31,0.3577331012549066
2022-02-01,0.330593999831982
2022-02-02,0.3515221331473792
2022-02-03,0.3482615677773939
2022-02-04,0.34783733801290284
2022-02-07,0.34209269092003386
2022-02-08,0.3379261456188523
2022-02-09,0.33757386702411446
2022-02-10,0.3368814012524622
2022-02-11,0.33917157020627436
2022-02-14,0.35395810490783663
2022-02-15,0.35088933482211315
2022-02-16,0.3431765524065056
2022-02-17,0.34163593829180916
2022-02-18,0.3427116465298024
2022-02-21,0.34074635231818845
2022-02-22,0.3423077640212858
2022-02-23,0.33478920377801674
2022-02-24,0.33165291626096166
2022-02-25,0.3258354393633832
2022-02-28,0.32379471130737175
2022-03-01,0.3216698242299307
2022-03-02,0.3183646005475998
2022-03-03,0.3526383383481952
2022-03-04,0.3561962001216493
2022-03-07,0.3461959630156867
2022-03-08,0.3478353652306484
2022-03-09,0.34025858363039463
2022-03-10,0.3276337372833675
2022-03-11,0.32537165355482023
2022-03-14,0.32381283645424797
2022-03-15,0.32008142571477194
