date,brent
2017-12-01,64.06428571428571
2018-01-01,68.88913043478261
2018-02-01,65.69650000000000
2018-03-01,66.89181818181818
2018-04-01,71.93285714285714
2018-05-01,76.93434782608696
2018-06-01,75.80285714285714
2018-07-01,75.22909090909091
2018-08-01,73.85130434782609
2018-09-01,79.16300000000000
2018-10-01,80.78347826086957
2018-11-01,66.22863636363636
2018-12-01,57.94809523809524
2019-01-01,59.94478260869565
2019-02-01,64.38400000000000
2019-03-01,66.94190476190476
2019-04-01,71.47590909090909
2019-05-01,70.38913043478261
2019-06-01,63.20850000000000
2019-07-01,64.32217391304348
2019-08-01,59.61818181818182
2019-09-01,62.43095238095238
2019-10-01,59.63130434782609
2019-11-01,62.68666666666667
2019-12-01,65.34818181818182
2020-01-01,63.89869565217391
2020-02-01,55.69100000000000
2020-03-01,33.94727272727273
2020-04-01,26.84863636363636
2020-05-01,32.42238095238095
2020-06-01,40.86045454545455
2020-07-01,43.29565217391304
2020-08-01,45.08142857142857
2020-09-01,41.92681818181818
2020-10-01,41.60681818181818
2020-11-01,44.05000000000000
2020-12-01,50.37695652173913
2021-01-01,55.22476190476190
2021-02-01,62.36250000000000
2021-03-01,65.79608695652174
2021-04-01,65.53181818181818
2021-05-01,68.37523809523810
2021-06-01,73.51272727272727
2021-07-01,74.40318181818182
2021-08-01,70.58818181818182
2021-09-01,74.74954545454545
2021-10-01,83.86523809523810
2021-11-01,80.89045454545455
2021-12-01,74.67826086956522
2022-01-01,85.62238095238095
2022-02-01,94.26700000000000
2022-03-01,112.44000000000000
2022-04-01,106.15571428571430
2022-05-01,112.11363636363640
2022-06-01,117.69272727272730
2022-07-01,105.25285714285710
2022-08-01,97.64304347826087
2022-09-01,90.60818181818182
2022-10-01,93.71857142857143
2022-11-01,90.93863636363636
2022-12-01,81.50318181818182
2023-01-01,84.08181818181818
2023-02-01,83.63250000000000
2023-03-01,79.25652173913043
2023-04-01,83.53600000000000
2023-05-01,75.74739130434783
2023-06-01,74.97500000000000
2023-07-01,80.10904761904762
2023-08-01,85.16826086956522
2023-09-01,92.67333333333333
2023-10-01,88.94772727272727
2023-11-01,82.18636363636364
2023-12-01,77.54095238095238
2024-01-01,79.11000000000000
2024-02-01,81.79571428571430
2024-03-01,84.96142857142857
2024-04-01,88.97454545454545
2024-05-01,83.05391304347826
2024-06-01,82.91750000000000
2024-07-01,84.04869565217390
2024-08-01,79.01863636363636
2024-09-01,73.05761904761905
2024-10-01,75.26652173913043
2024-11-01,73.50857142857143
2024-12-01,73.22772727272727
